assessment_id,id_no,binomial,year,event_year,longitude,latitude
497499,132523146,Hubbsina turneri,2018,2014,-101.4795,19.8745
497499,132523146,Hubbsina turneri,2018,2014,-101.7773,19.8256
497499,132523146,Hubbsina turneri,2018,2015,-101.7876,19.8273
500918,1117,Ameca splendens,2018,2016,-104.0793,20.9014
500918,1117,Ameca splendens,2018,2017,-103.845,20.6801
500918,1117,Ameca splendens,2018,2017,-103.8433,20.680999999999997
500918,1117,Ameca splendens,2018,2017,-103.8431,20.6761
500918,1117,Ameca splendens,2018,2017,-103.8427,20.6758
500918,1117,Ameca splendens,2018,2017,-103.8415,20.6896
500918,1117,Ameca splendens,2018,2016,-103.8417,20.6897
500918,1117,Ameca splendens,2018,1977,-103.844,20.6814
500918,1117,Ameca splendens,2018,2005,-103.5148,19.955
500918,1117,Ameca splendens,2018,1949,-103.927,20.5626
1015199,163823,Brachygonia ophelia,2018,2009,103.24127,3.2859800000000003
1015199,163823,Brachygonia ophelia,2018,2012,111.05843999999999,1.6188200000000001
1015199,163823,Brachygonia ophelia,2018,2012,113.902,-1.6640000000000001
1015199,163823,Brachygonia ophelia,2018,2012,114.611,-2.213
1015199,163823,Brachygonia ophelia,2018,1910,110.34138,1.52949
1015199,163823,Brachygonia ophelia,2018,1953,112.9496,-2.5315
1015199,163823,Brachygonia ophelia,2018,1990,114.3,4.5833
1274356,169367,Vieja hartwegi,2018,2003,-93.97471999999999,16.49389
1274356,169367,Vieja hartwegi,2018,2003,-93.97475,16.49389
1274356,169367,Vieja hartwegi,2018,2003,-93.90947,16.56417
1274356,169367,Vieja hartwegi,2018,2003,-93.90942,16.56428
1274356,169367,Vieja hartwegi,2018,2003,-93.56022,16.693720000000003
1274356,169367,Vieja hartwegi,2018,2003,-93.08406,16.61025
1274356,169367,Vieja hartwegi,2018,2003,-93.08417,16.61028
1274356,169367,Vieja hartwegi,2018,2003,-92.97711,16.492060000000002
1274356,169367,Vieja hartwegi,2018,2003,-92.97721999999999,16.49222
1274356,169367,Vieja hartwegi,2018,2003,-92.72025,15.88556
1274356,169367,Vieja hartwegi,2018,2003,-92.28081,15.74375
1274356,169367,Vieja hartwegi,2018,2003,-92.28081,15.743889999999999
1274356,169367,Vieja hartwegi,2018,2003,-92.28056,15.743889999999999
1274356,169367,Vieja hartwegi,2018,2003,-93.58106,17.23875
1274356,169367,Vieja hartwegi,2018,2003,-93.57141999999999,17.22511
1274356,169367,Vieja hartwegi,2018,2003,-93.44106,17.174329999999998
1274356,169367,Vieja hartwegi,2018,2003,-93.44156,17.175060000000002
1274356,169367,Vieja hartwegi,2018,2003,-93.41639,17.16972
1274356,169367,Vieja hartwegi,2018,2003,-93.31283,17.13711
1274356,169367,Vieja hartwegi,2018,2004,-93.26889,16.21278
1274356,169367,Vieja hartwegi,2018,2004,-93.07925,16.15878
1274613,169372,Allotoca diazi,2018,1998,-101.5651,19.5575
1274613,169372,Allotoca diazi,2018,1941,-101.5214,19.5205
1274613,169372,Allotoca diazi,2018,2017,-101.5215,19.573
1274613,169372,Allotoca diazi,2018,1969,-101.7064,19.5861
1274613,169372,Allotoca diazi,2018,1969,-101.5726,19.6367
1274613,169372,Allotoca diazi,2018,1990,-101.6508,19.5717
1274613,169372,Allotoca diazi,2018,1991,-101.616,19.5623
1275786,169387,Chirostoma promelas,2018,1964,-103.21722,20.289720000000003
1275786,169387,Chirostoma promelas,2018,1964,-103.18278000000001,20.28639
1275786,169387,Chirostoma promelas,2018,1965,-103.21722,20.289720000000003
1275786,169387,Chirostoma promelas,2018,1965,-103.1875,20.27917
1275786,169387,Chirostoma promelas,2018,1965,-103.18278000000001,20.28639
1275786,169387,Chirostoma promelas,2018,1966,-103.21722,20.289720000000003
1275786,169387,Chirostoma promelas,2018,1966,-103.18278000000001,20.28639
1275786,169387,Chirostoma promelas,2018,1966,-102.72111,20.27028
1275786,169387,Chirostoma promelas,2018,1967,-103.18278000000001,20.28639
1275786,169387,Chirostoma promelas,2018,1977,-103.1875,20.27917
1276157,169391,Chirostoma attenuatum,2018,1956,-101.61917,19.545560000000002
1276157,169391,Chirostoma attenuatum,2018,1957,-101.6475,19.58556
1276157,169391,Chirostoma attenuatum,2018,1957,-101.61917,19.545560000000002
1276157,169391,Chirostoma attenuatum,2018,1998,-101.65389,19.54056
1276460,169395,Zoogoneticus tequila,2018,1990,-103.8436,20.6816
1494264,17762,Poblana alchichica,2018,1941,-97.4,19.34694
1494264,17762,Poblana alchichica,2018,1947,-97.37833,19.407220000000002
1494264,17762,Poblana alchichica,2018,1963,-97.37833,19.407220000000002
1494264,17762,Poblana alchichica,2018,1966,-97.37833,19.407220000000002
1494264,17762,Poblana alchichica,2018,1978,-97.37833,19.407220000000002
1494264,17762,Poblana alchichica,2018,1994,-97.4,19.34694
1494296,17763,Poblana ferdebueni,2018,1959,-98.02889,19.828889999999998
1494296,17763,Poblana ferdebueni,2018,1972,-98.03361,19.827779999999997
1494618,17765,Poblana squamata,2018,1947,-97.49110999999999,19.33556
1494618,17765,Poblana squamata,2018,1994,-97.49110999999999,19.33556
1646550,180566,Aplocheilus dayi,2019,1973,80.37615799999999,6.689875
1646550,180566,Aplocheilus dayi,2019,1973,80.3991,6.6827
1646550,180566,Aplocheilus dayi,2019,1973,80.402028,6.704992999999999
1646550,180566,Aplocheilus dayi,2019,1973,80.412313,6.671628999999999
1646550,180566,Aplocheilus dayi,2019,2012,79.96264000000001,6.879663000000001
1646550,180566,Aplocheilus dayi,2019,2014,79.96616,7.097619
1646550,180566,Aplocheilus dayi,2019,2012,80.270797,6.901
1646550,180566,Aplocheilus dayi,2019,2012,80.273686,6.963749000000001
1646550,180566,Aplocheilus dayi,2019,2012,80.283884,6.942089999999999
1646550,180566,Aplocheilus dayi,2019,2015,79.89283,6.882517
1646550,180566,Aplocheilus dayi,2019,2015,79.89846999999999,6.914867
1646550,180566,Aplocheilus dayi,2019,2015,79.91022,6.890867
1646550,180566,Aplocheilus dayi,2019,2015,79.91035,6.9056
1646550,180566,Aplocheilus dayi,2019,2015,79.91157199999999,6.907147999999999
1646550,180566,Aplocheilus dayi,2019,2015,79.91343,6.8793
1646550,180566,Aplocheilus dayi,2019,2015,79.91402,6.896917
1646550,180566,Aplocheilus dayi,2019,2015,79.9306,6.8716669999999995
1646550,180566,Aplocheilus dayi,2019,2015,79.93321999999999,6.881433
1646550,180566,Aplocheilus dayi,2019,2015,79.94736999999999,6.8886330000000005
1646550,180566,Aplocheilus dayi,2019,2015,79.94932,6.933383
1646550,180566,Aplocheilus dayi,2019,2015,79.9592,6.910433
1646550,180566,Aplocheilus dayi,2019,2019,80.276888,6.460367
1646550,180566,Aplocheilus dayi,2019,2019,80.290001,6.53838
1646550,180566,Aplocheilus dayi,2019,2019,80.426222,6.762472
1646550,180566,Aplocheilus dayi,2019,2019,80.20934,6.58235
1646550,180566,Aplocheilus dayi,2019,1970,80.3991,6.6827
1646550,180566,Aplocheilus dayi,2019,1970,80.4,6.6833
